id,name,ram,disk,bandwidth,price,driver_name
inf2.8xlarge,inf2.8xlarge,131072,0,25.0,2.16465,Amazon EC2
inf2.xlarge,inf2.xlarge,16384,0,15.0,0.0,Amazon EC2
is4gen.2xlarge,is4gen.2xlarge,49152,7500,25.0,1.1526,Amazon EC2
is4gen.4xlarge,is4gen.4xlarge,98304,15000,25.0,2.3052,Amazon EC2
is4gen.8xlarge,is4gen.8xlarge,196608,30000,50.0,4.6104,Amazon EC2
is4gen.large,is4gen.large,12288,1875,25.0,0.28815,Amazon EC2
is4gen.medium,is4gen.medium,6144,937,25.0,0.14408,Amazon EC2
is4gen.xlarge,is4gen.xlarge,24576,3750,25.0,0.5763,Amazon EC2
m1.large,m1.large,7680,840,,0.175,Amazon EC2
m1.medium,m1.medium,3840,410,,0.087,Amazon EC2
m1.small,m1.small,1740,160,,0.044,Amazon EC2
m1.xlarge,m1.xlarge,15360,1680,,0.35,Amazon EC2
m2.2xlarge,m2.2xlarge,35020,850,,0.49,Amazon EC2
m2.4xlarge,m2.4xlarge,70041,1680,,0.98,Amazon EC2
m2.xlarge,m2.xlarge,17510,420,,0.245,Amazon EC2
m3.2xlarge,m3.2xlarge,30720,160,,0.0,Amazon EC2
m3.large,m3.large,7680,32,,0.0,Amazon EC2
m3.medium,m3.medium,3840,4,,0.074,Amazon EC2
m3.xlarge,m3.xlarge,15360,80,,0.266,Amazon EC2
m4.10xlarge,m4.10xlarge,163840,0,10.0,2.0,Amazon EC2
m4.16xlarge,m4.16xlarge,262144,0,20.0,3.2,Amazon EC2
m4.2xlarge,m4.2xlarge,32768,0,,0.44,Amazon EC2
m4.4xlarge,m4.4xlarge,65536,0,,0.0,Amazon EC2
m4.large,m4.large,8192,0,,0.1,Amazon EC2
m4.xlarge,m4.xlarge,16384,0,,0.2,Amazon EC2
m5.12xlarge,m5.12xlarge,196608,0,10.0,2.444,Amazon EC2
m5.16xlarge,m5.16xlarge,262144,0,20.0,3.259,Amazon EC2
m5.24xlarge,m5.24xlarge,393216,0,25.0,4.608,Amazon EC2
m5.2xlarge,m5.2xlarge,32768,0,10.0,0.384,Amazon EC2
m5.4xlarge,m5.4xlarge,65536,0,10.0,0.815,Amazon EC2
m5.8xlarge,m5.8xlarge,131072,0,10.0,0.0,Amazon EC2
m5.large,m5.large,8192,0,10.0,0.102,Amazon EC2
m5.xlarge,m5.xlarge,16384,0,10.0,0.0,Amazon EC2
m5a.12xlarge,m5a.12xlarge,196608,0,10.0,2.064,Amazon EC2
m5a.16xlarge,m5a.16xlarge,262144,0,12.0,2.752,Amazon EC2
m5a.24xlarge,m5a.24xlarge,393216,0,20.0,4.128,Amazon EC2
m5a.2xlarge,m5a.2xlarge,32768,0,10.0,0.344,Amazon EC2
m5a.4xlarge,m5a.4xlarge,65536,0,10.0,0.688,Amazon EC2
m5a.8xlarge,m5a.8xlarge,131072,0,10.0,1.376,Amazon EC2
m5a.large,m5a.large,8192,0,10.0,0.086,Amazon EC2
m5a.xlarge,m5a.xlarge,16384,0,10.0,0.172,Amazon EC2
m5ad.12xlarge,m5ad.12xlarge,196608,1800,10.0,2.472,Amazon EC2
m5ad.16xlarge,m5ad.16xlarge,262144,2400,12.0,3.296,Amazon EC2
m5ad.24xlarge,m5ad.24xlarge,393216,3600,20.0,4.944,Amazon EC2
m5ad.2xlarge,m5ad.2xlarge,32768,300,10.0,0.412,Amazon EC2
m5ad.4xlarge,m5ad.4xlarge,65536,600,10.0,0.824,Amazon EC2
m5ad.8xlarge,m5ad.8xlarge,131072,1200,10.0,1.648,Amazon EC2
m5ad.large,m5ad.large,8192,75,10.0,0.103,Amazon EC2
m5ad.xlarge,m5ad.xlarge,16384,150,10.0,0.206,Amazon EC2
m5d.12xlarge,m5d.12xlarge,196608,1800,10.0,2.876,Amazon EC2
m5d.16xlarge,m5d.16xlarge,262144,2400,20.0,3.616,Amazon EC2
m5d.24xlarge,m5d.24xlarge,393216,3600,25.0,5.424,Amazon EC2
m5d.2xlarge,m5d.2xlarge,32768,300,10.0,0.0,Amazon EC2
m5d.4xlarge,m5d.4xlarge,65536,600,10.0,0.0,Amazon EC2
m5d.8xlarge,m5d.8xlarge,131072,1200,10.0,1.808,Amazon EC2
m5d.large,m5d.large,8192,75,10.0,0.12,Amazon EC2
m5d.xlarge,m5d.xlarge,16384,150,10.0,0.226,Amazon EC2
m5dn.12xlarge,m5dn.12xlarge,196608,1800,50.0,0.0,Amazon EC2
m5dn.16xlarge,m5dn.16xlarge,262144,2400,75.0,0.0,Amazon EC2
m5dn.24xlarge,m5dn.24xlarge,393216,3600,100.0,0.0,Amazon EC2
m5dn.2xlarge,m5dn.2xlarge,32768,300,25.0,0.0,Amazon EC2
m5dn.4xlarge,m5dn.4xlarge,65536,600,25.0,1.154,Amazon EC2
m5dn.8xlarge,m5dn.8xlarge,131072,1200,25.0,2.308,Amazon EC2
m5dn.large,m5dn.large,8192,75,25.0,0.0,Amazon EC2
m5dn.xlarge,m5dn.xlarge,16384,150,25.0,0.0,Amazon EC2
m5n.12xlarge,m5n.12xlarge,196608,0,50.0,0.0,Amazon EC2
m5n.16xlarge,m5n.16xlarge,262144,0,75.0,4.038,Amazon EC2
m5n.24xlarge,m5n.24xlarge,393216,0,100.0,5.712,Amazon EC2
m5n.2xlarge,m5n.2xlarge,32768,0,25.0,0.0,Amazon EC2
m5n.4xlarge,m5n.4xlarge,65536,0,25.0,0.0,Amazon EC2
m5n.8xlarge,m5n.8xlarge,131072,0,25.0,2.019,Amazon EC2
m5n.large,m5n.large,8192,0,25.0,0.119,Amazon EC2
m5n.xlarge,m5n.xlarge,16384,0,25.0,0.0,Amazon EC2
m5zn.12xlarge,m5zn.12xlarge,196608,0,100.0,4.3605,Amazon EC2
m5zn.2xlarge,m5zn.2xlarge,32768,0,25.0,0.6607,Amazon EC2
m5zn.3xlarge,m5zn.3xlarge,49152,0,25.0,0.0,Amazon EC2
m5zn.6xlarge,m5zn.6xlarge,98304,0,50.0,2.1802,Amazon EC2
m5zn.large,m5zn.large,8192,0,25.0,0.0,Amazon EC2
m5zn.xlarge,m5zn.xlarge,16384,0,25.0,0.3634,Amazon EC2
m6a.12xlarge,m6a.12xlarge,196608,0,18750.0,2.28096,Amazon EC2
m6a.16xlarge,m6a.16xlarge,262144,0,25000.0,2.7648,Amazon EC2
m6a.24xlarge,m6a.24xlarge,393216,0,37500.0,4.1472,Amazon EC2
m6a.2xlarge,m6a.2xlarge,32768,0,12500.0,0.3456,Amazon EC2
m6a.32xlarge,m6a.32xlarge,524288,0,50000.0,6.08256,Amazon EC2
